Item,Type,Quantity,Price (Total),Vendor
CL21A106KAYNNNE,10uF,10,$0.10,JLCPCB
CL31A226KAHNNNE,22uF,5,$0.20,JLCPCB
CL21B105KBFNNNE,1uF,5,$0.04,JLCPCB
CL10A225KO8NNNC,2.2uF,10,$0.05,JLCPCB
CL31A107MQHNNNE,100uF,5,$0.27,JLCPCB
CL05B104KO5NNNC,100nF,20,$0.02,JLCPCB
CL21B103KBANNNC,10nF,5,$0.03,JLCPCB
B2B-XH-A(LF)(SN),JSTConnector,20,$0.70,LCSC
XL-302UWC,XL-302UWC,20,$0.46,LCSC
KT-0603R,KT-0603R,5,$0.03,JLCPCB
AO3401A,AO3401A,5,$0.28,JLCPCB
0603WAF5101T5E,5.1kΩ,10,$0.01,JLCPCB
0603WAF1201T5E,1.2kΩ,5,$0.01,JLCPCB
0603WAF3303T5E,330kΩ,5,$0.01,JLCPCB
1206W4F1003T5E,100kΩ,5,$0.02,JLCPCB
0805W8F1002T5E,10kΩ,20,$0.04,JLCPCB
0805W8F1000T5E,100Ω,10,$0.02,JLCPCB
0805W8F2200T5E,220Ω,15,$0.03,JLCPCB
TS-1088-AR02016,TS-1088-AR02016,15,$0.64,JLCPCB
ESP32-S3-WROOM-1-N8R2,2.4GHz,0,$4.69,LCSC
TP4056,TP4056,0,$0.42,LCSC
TPS61202DRCT,TPS61202DRCT,0,$1.76,LCSC
APH0420T4R7M,4.7uH,0,$0.41,LCSC
AP2112K-3.3TRG1,AP2112K-3.3TRG1,0,$0.46,LCSC
DRV8833PWPR,DRV8833PWPR,0,$0.67,LCSC
TYPE-C 16PIN 2MD(073),TYPE-C16PIN2MD(073),10,$0.59,LCSC
1206L150/16NR,1206L150/16NR,10,$0.46,LCSC
Xinyangze YZ134112062B-02,Pogo pins,5,$1.43,LCSC
Joystick module,,1,1.2,Aliexpress
Gear motor,N20,10,7,Aliexpress
PCB + PCBA + other fees,,,$14.86,JLCPCB
Shipping and handling,,,$11.62,LCSC
Shipping,,,$1.99,Aliexpress
Total,,,$50.50,